Peru,3.8,2.3,1.6,1.3
Philippines,3.8,3.3,3,2.6
Qatar,1.2,1,0.8,0.6
Romania,2.2,1.5,1,0.7
Russian Federation,1.9,1.2,0.9,0.5
Rwanda,18.5,8.4,5,4
Saudi Arabia,2.2,1.5,1,0.7
Senegal,13,7.9,5.2,3.8
Serbia,1.3,0.8,0.7,0.6
Sierra Leone,22.5,18.2,13.9,10.8
Slovakia,1,0.8,0.6,0.6
Solomon Islands,3.1,2.8,2.3,1.9
Somalia,17.3,17,13.8,11.5
South Africa,7.2,7.5,3.8,3.2
South Sudan,18.1,12.6,9.8,9.8
Sri Lanka,1.6,1.3,0.9,0.7
Sudan,10.4,8.3,6.8,5.7
Suriname,3.1,2.5,2.1,1.8
Syrian Arab Republic,2.3,1.9,4.7,2.2
Tajikistan,8.4,4.9,3.8,3.2
Tanzania (United Rep. of),13,8.4,6,4.9
Thailand,2.2,1.6,1.1,0.9
Timor-Leste,10.8,7.2,5.2,4.2
Togo,12,9.7,7.8,6.4
Trinidad & Tobago,2.8,2.4,2,1.7
Tunisia,3,2,1.7,1.7
Türkiye,3.8,2.3,1.4,0.9
Turkmenistan,7,4.7,4.2,4.2
Uganda,14.6,9.3,5.9,4.3
Ukraine,1.8,1.3,1,0.8
United Arab Emirates,1.1,0.9,0.8,0.7
Uruguay,1.7,1.3,0.9,0.6
Uzbekistan,6.1,3.7,2.1,1.4
Venezuela (Boliv. Rep. of),2.2,1.7,1.8,2.4
Viet Nam,3,2.4,2.2,2.1
Yemen,9.5,6.6,5.9,6
Zambia,15.6,9.3,6.8,6.1
Zimbabwe,9.6,9.6,6.3,5.4
